STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,FLEET_SIZE,Fleet size,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,VNM,Viet Nam,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2016,,110950,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,VNM,Viet Nam,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2017,,109586,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,BRA,Brazil,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2010,,1326,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,BRA,Brazil,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2011,,2261,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,BRA,Brazil,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2012,,4012,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,BRA,Brazil,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2013,,8420,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,BRA,Brazil,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2014,,10738,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,BRA,Brazil,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2015,,14064,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,BRA,Brazil,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2016,,17658,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,BRA,Brazil,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2017,,19535,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,BRA,Brazil,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2018,,21412,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,BRA,Brazil,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2019,,22469,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,BRA,Brazil,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2020,,24892,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SWE,Sweden,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2010,,1360,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SWE,Sweden,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2011,,1369,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SWE,Sweden,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2012,,1389,,A,Normal value,,,0,Units,0,Zero,,
